Title,Link
Title,Link
Facial Recognition Is Law Enforcement’s Newest Weapon Against Protesters,https://onezero.medium.com/facial-recognition-is-law-enforcements-newest-weapon-against-protestors-c7a9760e46eb?source=topic_page---------------------------20
Facial Recognition Is Law Enforcement’s Newest Weapon Against Protesters,https://onezero.medium.com/facial-recognition-is-law-enforcements-newest-weapon-against-protestors-c7a9760e46eb?source=topic_page---------------------------20
Instilling Responsible and Reliable AI Development with Federated Learning,https://medium.com/accenture-the-dock/instilling-responsible-and-reliable-ai-development-with-federated-learning-d23c366c5efd?source=topic_page---------0------------------1
AI & Academic Search Engines,https://medium.com/dataseries/ai-academic-search-engines-acf971717fbf?source=topic_page---------1------------------1
Making AI Fair,https://medium.com/ai-in-plain-english/making-ai-fair-2912710be822?source=topic_page---------2------------------1
12 Main Dropout Methods : Mathematical and Visual Explanation,https://towardsdatascience.com/12-main-dropout-methods-mathematical-and-visual-explanation-58cdc2112293?source=topic_page---------4------------------1
The New Art of AI Engineering,https://medium.com/@wouterhuygen/the-new-art-of-ai-engineering-11c0b8a906f1?source=topic_page---------5------------------1
GPT-3 for the People,https://towardsdatascience.com/gpt-3-for-the-people-2cdd003d9a89?source=topic_page---------6------------------1
A Strategic look at Robotic Process Automation.,https://medium.com/basicolans/a-strategic-look-at-robotic-process-automation-17e9e19660f?source=topic_page---------7------------------1
How to pump-up your business using AI,https://towardsdatascience.com/how-to-pump-up-your-business-using-ai-ff9d7edb1d77?source=topic_page---------8------------------1
We Must Fight Face Surveillance to Protect Black Lives,https://medium.com/@Joy.Buolamwini/we-must-fight-face-surveillance-to-protect-black-lives-5ffcd0b4c28a?source=topic_page---------9------------------1
Catalyst 101 — Accelerated PyTorch,https://medium.com/pytorch/catalyst-101-accelerated-pytorch-bd766a556d92?source=topic_page---------10------------------1
AI Based Fuzzing (AIF),https://towardsdatascience.com/ai-based-fuzzing-aif-f09dda4d3804?source=topic_page---------11------------------1
Imitating a child’s mind instead of an adult’s — The next leap in AI,https://medium.com/swlh/imitating-a-childs-mind-instead-of-an-adult-s-the-next-leap-in-ai-40bef046ce52?source=topic_page---------12------------------1
Expectation-Maximization for GMMs explained,https://towardsdatascience.com/expectation-maximization-for-gmms-explained-5636161577ca?source=topic_page---------13------------------1
Goal-Oriented Dialogue Generation with Few Shot Training & Knowledge Transfer,https://medium.com/saarthi-ai/few-shot-goal-oriented-dialogue-generation-with-knowledge-transfer-networks-51486a36c809?source=topic_page---------14------------------1
Getting Started With Reinforcement Learning(MuJoCo and OpenAI Gym),https://medium.com/swlh/getting-started-with-reinforcement-learning-mujoco-and-openai-gym-67243b78b599?source=topic_page---------15------------------1
AI and a renowned dancer performed together — Can AI stimulate the dancer’s creativity?,https://medium.com/@naotokui/ai-and-a-renowned-dancer-performed-together-can-ai-stimulate-the-dancers-creativity-2e8715fd32d6?source=topic_page---------16------------------1
PyTorch Performance Analysis with TensorBoard,https://towardsdatascience.com/pytorch-performance-analysis-with-tensorboard-7c61f91071aa?source=topic_page---------17------------------1
"Find Face, Replace. Detecting Deepfakes.",https://medium.com/swlh/find-face-replace-detecting-deepfakes-1048edc27fba?source=topic_page---------18------------------1
6 ways in which Artificial Intelligence & Data Science is changing the world of Sports,https://medium.com/swlh/6-ways-in-which-artificial-intelligence-data-science-is-changing-the-world-of-sports-377fe9af468b?source=topic_page---------19------------------1
Infinite Steps CartPole Problem With Variable Reward,https://towardsdatascience.com/infinite-steps-cartpole-problem-with-variable-reward-7ad9a0dcf6d0?source=topic_page---------20------------------1
A Comparison Of Eight Chatbot Environments,https://medium.com/@CobusGreyling/a-comparison-of-eight-chatbot-environments-41ad3b795dc7?source=topic_page---------21------------------1
Face Liveness Detection through Blinking Eyes,https://medium.com/@andisama/face-liveness-detection-through-blinking-eyes-2739316ab69d?source=topic_page---------22------------------1
AI Policing’s Effect on Race,https://medium.com/an-injustice/ai-policings-effect-on-race-9d3da866c466?source=topic_page---------23------------------1
The Future of AI Governance,https://medium.com/digitalpolicysalon/the-future-of-ai-governance-9ee3ab7ed412?source=topic_page---------24------------------1
How to use science to decide when you don’t know what’s going to happen,https://towardsdatascience.com/how-to-use-science-to-decide-when-you-dont-know-what-s-going-to-happen-3271eef061de?source=topic_page---------25------------------1
Stock Price Prediction with PyTorch,https://medium.com/swlh/stock-price-prediction-with-pytorch-37f52ae84632?source=topic_page---------26------------------1
A Beginner-Friendly Explanation of How Neural Networks Work,https://towardsdatascience.com/a-beginner-friendly-explanation-of-how-neural-networks-work-55064db60df4?source=topic_page---------27------------------1
Racist and Sexist AI — A Tale of Algorithmic Bias,https://medium.com/@kmellata/racist-and-sexist-ai-a-tale-of-algorithmic-bias-3dc9128cc0ab?source=topic_page---------28------------------1
Overview of Gradient Descent — Python Implementation of Gradient Descent,https://medium.com/analytics-vidhya/overview-of-gradient-descent-python-implementation-of-gradient-descent-84c545a36b7f?source=topic_page---------29------------------1
How to Choose a Pre-Processing Technique to Mitigate AI Bias,https://towardsdatascience.com/how-to-choose-a-pre-processing-technique-to-mitigate-ai-bias-11ed9fc0f881?source=topic_page---------30------------------1
AI in 5 lines of code: Wine Classification,https://towardsdatascience.com/ai-in-5-lines-of-code-wine-classification-5782c7f8afe7?source=topic_page---------31------------------1
Implementing ML APIs in GCP,https://medium.com/gen-y/implementing-ml-apis-in-gcp-a248d47b7609?source=topic_page---------32------------------1
PyTorch made Easy : Introduction to PyTorch,https://medium.com/@mustafaazzurri/pytorch-made-easy-introduction-to-pytorch-11bc6170d685?source=topic_page---------33------------------1
COVID-19 is Changing How We Live and AI is Struggling to Keep Up,https://medium.com/@ashleen.knutsen/covid-19-is-changing-how-we-live-and-ai-is-struggling-to-keep-up-133e2fb0d7d7?source=topic_page---------34------------------1
Microsoft to replace employees with artificial intelligence,https://medium.com/swlh/microsoft-to-replace-employees-with-artificial-intelligence-18a588d9cbb2?source=topic_page---------35------------------1
New Perspectives on Transfer Learning,https://towardsdatascience.com/new-perspectives-on-transfer-learning-285035f01589?source=topic_page---------36------------------1
Automating Doom with Deep Q-Learning: An Implementation in Tensorflow.,https://towardsdatascience.com/automating-doom-with-deep-q-learning-an-implementation-in-tensorflow-db03c1b03a9c?source=topic_page---------37------------------1
The controversial promises of big data.,https://medium.com/ai-in-plain-english/the-controversial-promises-of-big-data-c8d94a3395a9?source=topic_page---------38------------------1
"DeepMind Surges on, Releasing Acme and Reverb RL Libraries",https://towardsdatascience.com/deepmind-surges-on-releasing-acme-and-reverb-rl-libraries-10545996cd05?source=topic_page---------39------------------1
Introduction to Deep Similarity Learning for sequences,https://towardsdatascience.com/introduction-to-deep-similarity-learning-for-sequences-89d9c26f8392?source=topic_page---------40------------------1
Making Walmart’s Shopping Assistant Proactive,https://medium.com/walmartlabs/making-walmarts-shopping-assistant-proactive-53a1764fcdee?source=topic_page---------41------------------1
"From RealPlayer to Toshiba, Tech Companies Cash in on the Facial Recognition Gold Rush",https://onezero.medium.com/from-realplayer-to-toshiba-tech-companies-cash-in-on-the-facial-recognition-gold-rush-b40ab3e8f1e2?source=topic_page---------42------------------1
CartPole Problem Using TF-Agents — Build Your First Reinforcement Learning Application,https://towardsdatascience.com/cartpole-problem-using-tf-agents-build-your-first-reinforcement-learning-application-3e6006adeba7?source=topic_page---------43------------------1
This next-gen AI chip could be a major instrument in advancing the tech,https://medium.com/technicity/this-next-gen-ai-chip-could-be-a-major-instrument-in-advancing-the-tech-70766dfdf54c?source=topic_page---------44------------------1
